sample_per_class: 20, seed: 72,  best test acc:0.73 
sample_per_class: 20, seed: 1,  best test acc:0.732 
sample_per_class: 40, seed: 1,  best test acc:0.734 
sample_per_class: 60, seed: 1,  best test acc:0.73 
sample_per_class: 80, seed: 1,  best test acc:0.735 
sample_per_class: 100, seed: 1,  best test acc:0.731 
sample_per_class: 120, seed: 1,  best test acc:0.731 
sample_per_class: 140, seed: 1,  best test acc:0.728 
sample_per_class: 160, seed: 1,  best test acc:0.731 
sample_per_class: 180, seed: 1,  best test acc:0.728 
sample_per_class: 200, seed: 1,  best test acc:0.734 
sample_per_class: 20, seed: 2,  best test acc:0.736 
sample_per_class: 40, seed: 2,  best test acc:0.731 
sample_per_class: 60, seed: 2,  best test acc:0.727 
sample_per_class: 80, seed: 2,  best test acc:0.724 
sample_per_class: 100, seed: 2,  best test acc:0.733 
sample_per_class: 120, seed: 2,  best test acc:0.726 
sample_per_class: 140, seed: 2,  best test acc:0.731 
sample_per_class: 160, seed: 2,  best test acc:0.736 
sample_per_class: 180, seed: 2,  best test acc:0.736 
sample_per_class: 200, seed: 2,  best test acc:0.733 
sample_per_class: 20, seed: 3,  best test acc:0.724 
sample_per_class: 40, seed: 3,  best test acc:0.727 
sample_per_class: 60, seed: 3,  best test acc:0.737 
sample_per_class: 80, seed: 3,  best test acc:0.737 
sample_per_class: 100, seed: 3,  best test acc:0.733 
sample_per_class: 120, seed: 3,  best test acc:0.733 
sample_per_class: 140, seed: 3,  best test acc:0.739 
sample_per_class: 160, seed: 3,  best test acc:0.735 
sample_per_class: 180, seed: 3,  best test acc:0.732 
sample_per_class: 200, seed: 3,  best test acc:0.733 
sample_per_class: 20, seed: 4,  best test acc:0.736 
sample_per_class: 40, seed: 4,  best test acc:0.735 
sample_per_class: 60, seed: 4,  best test acc:0.736 
sample_per_class: 80, seed: 4,  best test acc:0.735 
sample_per_class: 100, seed: 4,  best test acc:0.738 
sample_per_class: 120, seed: 4,  best test acc:0.735 
sample_per_class: 140, seed: 4,  best test acc:0.731 
sample_per_class: 160, seed: 4,  best test acc:0.73 
sample_per_class: 180, seed: 4,  best test acc:0.732 
sample_per_class: 200, seed: 4,  best test acc:0.731 
