sample_per_class: 0, seed: 72,  best test acc:0.8300000000000001 
sample_per_class: 20, seed: 72,  best test acc:0.8270000000000001 
sample_per_class: 40, seed: 72,  best test acc:0.8300000000000001 
sample_per_class: 60, seed: 72,  best test acc:0.8220000000000001 
sample_per_class: 80, seed: 72,  best test acc:0.8210000000000001 
sample_per_class: 100, seed: 72,  best test acc:0.8160000000000001 
sample_per_class: 120, seed: 72,  best test acc:0.808 
sample_per_class: 140, seed: 72,  best test acc:0.8130000000000001 
sample_per_class: 160, seed: 72,  best test acc:0.806 
sample_per_class: 180, seed: 72,  best test acc:0.806 
sample_per_class: 200, seed: 72,  best test acc:0.804 

sample_per_class: 20, seed: 1,  best test acc:0.8270000000000001 
sample_per_class: 40, seed: 1,  best test acc:0.8150000000000001 
sample_per_class: 60, seed: 1,  best test acc:0.8230000000000001 
sample_per_class: 80, seed: 1,  best test acc:0.8200000000000001 
sample_per_class: 20, seed: 2,  best test acc:0.84 
sample_per_class: 20, seed: 3,  best test acc:0.84 
sample_per_class: 100, seed: 1,  best test acc:0.805 
sample_per_class: 40, seed: 2,  best test acc:0.8260000000000001 
sample_per_class: 20, seed: 4,  best test acc:0.8220000000000001 
sample_per_class: 40, seed: 3,  best test acc:0.837 
sample_per_class: 60, seed: 2,  best test acc:0.8290000000000001 
sample_per_class: 120, seed: 1,  best test acc:0.807 
sample_per_class: 40, seed: 4,  best test acc:0.8280000000000001 
sample_per_class: 60, seed: 3,  best test acc:0.8140000000000001 
sample_per_class: 80, seed: 2,  best test acc:0.8250000000000001 
sample_per_class: 60, seed: 4,  best test acc:0.8230000000000001 
sample_per_class: 140, seed: 1,  best test acc:0.8160000000000001 
sample_per_class: 80, seed: 3,  best test acc:0.8260000000000001 
sample_per_class: 100, seed: 2,  best test acc:0.8170000000000001 
sample_per_class: 80, seed: 4,  best test acc:0.8220000000000001 
sample_per_class: 160, seed: 1,  best test acc:0.808 
sample_per_class: 100, seed: 3,  best test acc:0.8180000000000001 
sample_per_class: 120, seed: 2,  best test acc:0.8130000000000001 
sample_per_class: 100, seed: 4,  best test acc:0.8180000000000001 
sample_per_class: 120, seed: 3,  best test acc:0.808 
sample_per_class: 180, seed: 1,  best test acc:0.804 
sample_per_class: 140, seed: 2,  best test acc:0.806 
sample_per_class: 120, seed: 4,  best test acc:0.8180000000000001 
sample_per_class: 140, seed: 3,  best test acc:0.802 
sample_per_class: 200, seed: 1,  best test acc:0.809 
sample_per_class: 140, seed: 4,  best test acc:0.804 
sample_per_class: 160, seed: 2,  best test acc:0.812 
sample_per_class: 160, seed: 3,  best test acc:0.804 
sample_per_class: 160, seed: 4,  best test acc:0.805 
sample_per_class: 180, seed: 2,  best test acc:0.811 
sample_per_class: 180, seed: 3,  best test acc:0.805 
sample_per_class: 180, seed: 4,  best test acc:0.806 
sample_per_class: 200, seed: 2,  best test acc:0.806 
sample_per_class: 200, seed: 3,  best test acc:0.798 
sample_per_class: 200, seed: 4,  best test acc:0.801 
